Seecod;Cousig;Grccod;Counbrcdt;Locnbrpla;Pernum;Loccod;Grccodtypgrpcou;Coufrqlab;Grccodprt;Remcodtypcou;Couabgitt;Grcnbrpladis;Perjousem;Perhredeb
ES;ENE6912;01;1,500;200;5A;DEPART.;C;A;;T;PROJET DE MAITRISE IV;10;VEN;1745
ES;ENE6918;01;3,00;200;5A;DEPART.;C;A;;T;PROJET D'ETUDES SUPERIEURES;10;VEN;1745
ES;ENE6929;01;9,00;200;5A;DEPART.;C;A;;T;STAGE EN LABORATOIRE III;10;VEN;1745
ES;GBM6103;01;4,00;56;48;A-609;C;H;;TL;APPL. MEDICALES DE L'INFORMAT.;26;JEU;1545
ES;GBM6103;01;4,00;56;49;A-609;C;H;;TL;APPL. MEDICALES DE L'INFORMAT.;26;JEU;1645
ES;GBM6103;01;4,00;56;4A;A-609;C;H;;TL;APPL. MEDICALES DE L'INFORMAT.;26;JEU;1745
ES;GBM6103;01;4,00;40;31;C-229.1;L;H;;TL;APPL. MEDICALES DE L'INFORMAT.;26;MER;0830
ES;GBM6103;01;4,00;40;32;C-229.1;L;H;;TL;APPL. MEDICALES DE L'INFORMAT.;26;MER;0930
ES;GBM6103;01;4,00;40;33;C-229.1;L;H;;TL;APPL. MEDICALES DE L'INFORMAT.;26;MER;1030
ES;GBM6103;01;4,00;40;34;C-229.1;L;H;;TL;APPL. MEDICALES DE L'INFORMAT.;26;MER;1130
ES;GBM6106;01;3,00;60;360;UDM;C;A;;T;METH.DES SYST.EN PHYSIOLOGIE;20;MER;1300
ES;GBM6106;01;3,00;60;370;UDM;C;A;;T;METH.DES SYST.EN PHYSIOLOGIE;20;MER;1400
ES;GBM6106;01;3,00;60;380;UDM;C;A;;T;METH.DES SYST.EN PHYSIOLOGIE;20;MER;1500
ES;GBM6113;01;6,00;200;31;DEPART.;C;A;;T;STAGES GENIE BIOMEDICAL;20;MER;0830
ES;GBM6113;01;6,00;200;32;DEPART.;C;A;;T;STAGES GENIE BIOMEDICAL;20;MER;0930
ES;GBM6113;01;6,00;200;33;DEPART.;C;A;;T;STAGES GENIE BIOMEDICAL;20;MER;1030
ES;GBM6113;01;6,00;200;55;DEPART.;C;A;;T;STAGES GENIE BIOMEDICAL;20;VEN;1245
ES;GBM6113;01;6,00;200;56;DEPART.;C;A;;T;STAGES GENIE BIOMEDICAL;20;VEN;1345
ES;GBM6113;01;6,00;200;57;DEPART.;C;A;;T;STAGES GENIE BIOMEDICAL;20;VEN;1445
ES;GBM6115;01;3,00;48;45;B-618;C;A;;T;INTRODUCTION AUX BIOMATERIAUX;35;JEU;1245
